,Agent,Address,Price,Type,No. Bedroom,No. Bathroom,No. Carpark,Land area
178,Molenaar + McNeice,"3B Kareela Road, Woonona",Contact Agent,Duplex/Semi-detached,3 bedrooms,2 bathrooms,2 parking spaces,347 m² land size
179,Cardem Property Group,"7a Narooma Street, Gregory Hills","$699,000 - $729,000",House,4 bedrooms,3 bathrooms,1 parking space,288 m² land size
180,Wiseberry - Mona Vale,"8 Daly Avenue, Wahroonga","For Sale Guide | $1,600,000 - $1,700,000",House,4 bedrooms,3 bathrooms,2 parking spaces,930 m² land size
181,LJ Hooker - Cabramatta  ,"19 Vale Street, Canley Vale",Expressions of Interest,House,4 bedrooms,1 bathroom,1 parking space,734 m² land size
182,Wiseberry - Mona Vale,"36A Beaumont  Crescent, Bayview","For Sale | Guide $1,475,000",House,4 bedrooms,2 bathrooms,2 parking spaces,699 m² land size
183,Wiseberry - Mona Vale,"85 Mona Vale Road, Mona Vale","For Sale | Guide $1,250,000",House,3 bedrooms,1 bathroom,3 parking spaces,519 m² land size
184,Wiseberry - Mona Vale,"70a Cabbage Tree Road, Bayview",For Sale | Contact Agent,House,5 bedrooms,3 bathrooms,3 parking spaces,"1,188 m² land size"
185,United Agents Property Group,"19 Triabunna Avenue, West Hoxton","$1,049,950-$1,099,950",House,4 bedrooms,3 bathrooms,2 parking spaces,667.8 m² land size
186,Wiseberry - Mona Vale,"44 Nullaburra Road, Newport","Guide $1,250,000",House,3 bedrooms,1 bathroom,2 parking spaces,700 m² land size
187,MacCallum Inglis - Scone,"140 Ashwood Road, Scone",Auction,Other,3 bedrooms,1 bathroom,0,201.53 ha land size
188,Ray White - Surry Hills & Alexandria,"7/4 Gillespie Avenue, Alexandria",Auction,Apartment,1 bedroom,1 bathroom,0,N/A
189,LJ Hooker Avnu - NEUTRAL BAY,"30/44-50 Bent Street, Neutral Bay",On request,Apartment,2 bedrooms,1 bathroom,1 parking space,N/A
190,Barclay Property - East Maitland,"12 Birdwood Street, Chisholm","$650,000 - $665,000",House,4 bedrooms,2 bathrooms,2 parking spaces,684 m² land size
191,Laurence Morgan - Woonona ,"4 Throsby Avenue, Horsley","Price Guide $635,000 - $665,000",House,4 bedrooms,2 bathrooms,1 parking space,558 m² land size
192,Laing+Simmons - Mount Druitt,"24 Pimelea Place, Rooty Hill","$719,950",House,4 bedrooms,1 bathroom,2 parking spaces,409 m² land size
193,McLaren Real Estate - Narellan,"6 Murdoch Court, Harrington Park",New to Market,House,4 bedrooms,2 bathrooms,2 parking spaces,729 m² land size
194,N G Farah Real Estate - Kingsford,"12/21-23 Alison Road, Kensington",Auction,Apartment,2 bedrooms,1 bathroom,1 parking space,N/A
195,PRDnationwide - Perez Real Estate,"14/15 Begonia Street, Pagewood",Forthcoming Auction,Townhouse,3 bedrooms,2 bathrooms,2 parking spaces,171 m² building size
196,Warburton Estate Agents,"13 Kamilaroi Street, Muswellbrook","Buyer Guide $390,000 - $410,000",House,4 bedrooms,2 bathrooms,2 parking spaces,"1,058 m² land size"
197,Warburton Estate Agents,"19 Sowerby Street, Muswellbrook","Buyer Guide $265,000 - $285,000",House,3 bedrooms,1 bathroom,2 parking spaces,594 m² land size
198,Raine & Horne - Budgewoi,"4 Ulana Avenue, Budgewoi","Guide $499,000",House,3 bedrooms,2 bathrooms,2 parking spaces,613 m² land size
199,Walsh & Sullivan First National - Baulkham Hills,"12 Aberdeen Road, Winston Hills","Guide $900,000 to $950,000",House,4 bedrooms,2 bathrooms,2 parking spaces,670 m² land size
200,One Agency Empire Property Group - Narellan ,"4-5 Popple Close, Casula",Offers above $2.35 Million,House,10 bedrooms,4 bathrooms,0,"1,602 m² land size"
201,PRDnationwide - Penrith,"70 Kempsey Street, Jamisontown","$785,000",House,4 bedrooms,2 bathrooms,2 parking spaces,"1,179 m² land size"
202,First National - Chester Hill,"19 Chifley Avenue, Sefton",AUCTION,House,4 bedrooms,1 bathroom,2 parking spaces,556.44 m² land size
203,Belle Property - Bowral ,"5/15-17 Sheffield Road, Bowral",Motivated Vendor. Genuine Offers Considered.,Townhouse,2 bedrooms,2 bathrooms,1 parking space,N/A
204,LJ Hooker Oberon - LJ Hooker Oberon,"11 Hawkes Drive, Oberon","$390,000 - $420,000",House,4 bedrooms,2 bathrooms,2 parking spaces,904 m² building size
205,Ray White - Morisset,"58/ 1a Stockton Street, Morisset","$235,000",Retirement Living,2 bedrooms,1 bathroom,1 parking space,N/A
206,Sweetnams Real Estate - Balgowlah,"20/18 Mactier Street, Narrabeen","Range $975,000 to $1,050,000",Apartment,2 bedrooms,1 bathroom,1 parking space,132.9 m² building size
207,My Property Consultants - CAMPBELLTOWN,"4 Twingleton Avenue, Ambarvale","$489,000 - $519,000",House,3 bedrooms,1 bathroom,1 parking space,631 m² land size
208,First National Byron -   ,"35 Redgum Place, Suffolk Park",Contact Agent,House,4 bedrooms,2 bathrooms,2 parking spaces,"1,598 m² land size"
209,Rawson Homes - Rhodes,"103 Alex Avenue, Schofields","$796,000",House,4 bedrooms,2 bathrooms,1 parking space,288.82 m² land size
210,Complete Home Realty - Ramsgate,"16 Meriel Street, Sans Souci",Expression Of Interest,House,6 bedrooms,3 bathrooms,0,986 m² land size
211,The Realty Group Camden - Camden,"Address available on request, Elderslie","$749,000 - $779,000",House,4 bedrooms,2 bathrooms,2 parking spaces,500 m² land size
212,Molenaar + McNeice,"3/42 Campbell Street, Wollongong","$470,000 - $500,000",Apartment,2 bedrooms,1 bathroom,1 parking space,N/A
213,Prestige Professionals,"15 Quamby Court, Wattle Grove","$850,000 - $890,000",House,4 bedrooms,2 bathrooms,2 parking spaces,523 m² land size
214,Prestige Professionals,"143 Maddecks Avenue, Moorebank","$830,000 - $860,000",House,3 bedrooms,2 bathrooms,1 parking space,300 m² land size
215,Raine & Horne - Bardwell Park,"3/5 Phillip Street, Roselands",Auction,Unit,2 bedrooms,1 bathroom,1 parking space,N/A
216,Burke & Smyth Real Estate - Tamworth,"11A Banks Street, Tamworth","$339,000",House,4 bedrooms,2 bathrooms,1 parking space,N/A
217,Professionals - Narellan & District - NARELLAN,"21 Lackey Place, Currans Hill","Price Guide: $630,000 - $675,000",House,3 bedrooms,2 bathrooms,1 parking space,389 m² land size
218,The Realty Group Camden - Camden,"Address available on request, Mount Annan","$419,500 - $459,000",House,1 bedroom,1 bathroom,1 parking space,396 m² land size
219,McGrath - COLLAROY,"202/1348 Pittwater Road, Narrabeen","$920,000 - $970,000",Apartment,3 bedrooms,2 bathrooms,1 parking space,N/A
220,J Nguyen Property Agents - CANLEY VALE,"311 Canley Vale Road, Canley Heights",Contact Agent,Duplex/Semi-detached,5 bedrooms,3 bathrooms,1 parking space,N/A
221,Belle Property - Leura,"49 Mount Street, Leura","$650,000 - $710,000",House,4 bedrooms,2 bathrooms,1 parking space,"1,107 m² land size"
222,Ray White - Woollahra,"3/94 Birriga Road, Bellevue Hill",Auction,Apartment,2 bedrooms,1 bathroom,0,N/A
223,Ray White AY Realty Chatswood,"9 Carr Street, Chatswood",Auction - Contact Andy Yeung,House,4 bedrooms,2 bathrooms,1 parking space,N/A
224,George Brand Real Estate - The Entrance,"13 Dalton Avenue, Kanwal","$430,000 - $470,000",House,3 bedrooms,1 bathroom,1 parking space,462 m² land size
225,Belle Property - Randwick,"17a Boyce Road, Maroubra",Auction,House,2 bedrooms,2 bathrooms,1 parking space,219 m² land size
226,Peter Milling & Company,"11 Thornett, Dubbo","$395,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
227,Shead Property - Chatswood,"803/8 Broughton Road, Artarmon","$920,000 - $980,000",Apartment,2 bedrooms,1 bathroom,2 parking spaces,N/A
228,LJ Hooker - Maclean,"1 Howard Street, Maclean","$599,000",House,5 bedrooms,3 bathrooms,2 parking spaces,463 m² land size
229,Tim Mutton Estate Agents - PANANIA,"31 Edward St, Kingsgrove",Auction,House,4 bedrooms,3 bathrooms,4 parking spaces,897 m² land size
230,Phillips Pantzer Donnelley - WOOLLAHRA,"4 Inglethorpe Avenue, Kensington",Auction 16 February,House,5 bedrooms,3 bathrooms,2 parking spaces,462 m² land size
231,McGrath - Ballina,"7 Yeates Court, Wollongbar",Contact Agent,House,4 bedrooms,3 bathrooms,2 parking spaces,759.5 m² land size
232,Ray White - Lismore,"49 Diadem Street, Lismore","$399,000 new price",House,3 bedrooms,2 bathrooms,2 parking spaces,986 m² land size
233,Real Estate Sydney,"2.08/5 Saint David Avenue, Dee Why","$690,000 1+STUDY",Apartment,1 bedroom,1 bathroom,1 parking space,N/A
234,LJ Hooker - Bateau Bay,"28 Bateau Bay Road, Bateau Bay",Auction,House,3 bedrooms,2 bathrooms,1 parking space,626 m² land size
235,Belle Property - Hunters Hill,"8 Lavarack Street, Ryde",Contact Agent,House,4 bedrooms,2 bathrooms,1 parking space,N/A
236,Harcourts Hills Living - Baulkham Hills,"13 Camellia Place, Lalor Park","Price Guide: $700,000 - $750,000",House,4 bedrooms,2 bathrooms,2 parking spaces,309.8 m² land size
237,Bresic Whitney Estate Agents  -  Glebe ,"1C/797 Botany Road, Rosebery","Buyers guide $625,000",Apartment,1 bedroom,1 bathroom,0,85 m² building size
238,Byron Bay Ray White -   ,"Lot 2, 1149 Friday Hut Road, Binna Burra","$895,000",Residential Land,0,0,0,0.46 ha land size
239,Ray White - Ingleburn,"4/1 Atchison Road, Macquarie Fields","$379,000",Townhouse,2 bedrooms,1 bathroom,1 parking space,N/A
240,Harcourts Hills Living - Baulkham Hills,"7 Cartwright Crescent, Lalor Park","Price Guide: $760,000 - $790,000",House,4 bedrooms,2 bathrooms,2 parking spaces,638.6 m² land size
241,Property Central - Penrith,"34 Besley Street, Cambridge Park","$589,000 - $639,000",House,3 bedrooms,1 bathroom,2 parking spaces,645 m² land size
242,Laing+Simmons - Cronulla,"14/124-128 Oyster Bay Road, Oyster Bay","$895,000",Unit,3 bedrooms,2 bathrooms,2 parking spaces,175 m² building size
243,Laing+Simmons - Mount Druitt,"45 George Street, Mount Druitt","$840,000 to $870,000",House,5 bedrooms,3 bathrooms,2 parking spaces,"1,012 m² land size"
244,Belle Property - Hunters Hill,"31 Bowden Street, Ryde",Contact Agent,House,6 bedrooms,3 bathrooms,3 parking spaces,550 m² land size
245,First National Real Estate - Toronto,"93 Arcadia Street, Arcadia Vale","$545,000 - $575,000",House,3 bedrooms,2 bathrooms,2 parking spaces,544 m² land size
246,Raine & Horne - Newtown,"5 Copeland Avenue, Newtown",Auction,House,3 bedrooms,2 bathrooms,1 parking space,164.4 m² land size
247,Harcourts Hills Living - Baulkham Hills,"1 Camellia Place, Lalor Park","Price Guide: $600,000 - $650,000",House,4 bedrooms,1 bathroom,2 parking spaces,588.1 m² land size
248,Cobden & Hayson - Annandale,"66 Wetherill Street, Leichhardt",Contact Agent,House,3 bedrooms,1 bathroom,1 parking space,247 m² land size
249,Harcourts Hills Living - Baulkham Hills,"16 Carole Street, Seven Hills","Price Guide: $600,000 - $650,000",House,3 bedrooms,1 bathroom,2 parking spaces,556.4 m² land size
250,Harcourts Hills Living - Baulkham Hills,"14 Hilary Street, Winston Hills",A Place To Call Home,House,4 bedrooms,2 bathrooms,1 parking space,556.4 m² land size
251,Property Central - ERINA,"25 Maree Avenue, Terrigal",Just Listed,House,4 bedrooms,3 bathrooms,2 parking spaces,569 m² land size
252,McConnell Bourn - Wahroonga,"50 Beechworth Road, Pymble",By Negotiation,House,5 bedrooms,4 bathrooms,3 parking spaces,940 m² land size
253,Professionals Coolangatta - Tweed Heads,"5 Captains Way, Banora Point","$975,000",House,4 bedrooms,2 bathrooms,4 parking spaces,800 m² land size
254,Belle Property - Lane Cove,"1/45 Little Street, Lane Cove",Contact Agent,Villa,2 bedrooms,2 bathrooms,2 parking spaces,N/A
255,RE/MAX Elite - Wagga Wagga,"15 Jenkins Street, Ashmont","$225,000",House,3 bedrooms,2 bathrooms,2 parking spaces,663 m² land size
256,Bresic Whitney Estate Agents -  Darlinghurst,"128 Reservoir Street, Surry Hills","Buyers guide $1,100,000",House,2 bedrooms,1 bathroom,0,57 m² land size
257,Ray White - Figtree,"1/21 Yellagong Street, West Wollongong","$369,000",Apartment,2 bedrooms,1 bathroom,1 parking space,68 m² building size
258,LJ Hooker Green Square - Waterloo,"L13/274 Botany Road, Alexandria",Auction - Contact Agent,Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
259,McGrath - Coogee,"33/1 Wride Street, Maroubra",Contact Agent,Apartment,3 bedrooms,2 bathrooms,2 parking spaces,N/A
260,Purplebricks  - New South Wales ,"54 Colo Road, Colo Vale",For Sale - Offers Invited!,House,4 bedrooms,2 bathrooms,2 parking spaces,783 m² land size
261,Century 21 - John Ross Combined,"5 Eltham Street, Blacktown","Guide Price: $730,000 - $780,000",House,3 bedrooms,1 bathroom,2 parking spaces,569.9 m² land size
262,Century 21 - John Ross Combined,"10 Grose Place, Seven Hills","$700,000",House,3 bedrooms,1 bathroom,2 parking spaces,600.7 m² land size
263,McKillop Property Pty Ltd - Mittagong,"34 Crimea Street, Mittagong","$715,000",House,4 bedrooms,2 bathrooms,2 parking spaces,923 m² land size
264,Belle Property - Terrigal,"12 Ferndell Way, Berkeley Vale",New to Market,House,3 bedrooms,1 bathroom,6 parking spaces,600 m² land size
265,Cooper Coastal Properties - MILTON,"25 Lyra Drive, Lake Tabourie","$595,000 - $625,000",House,4 bedrooms,2 bathrooms,4 parking spaces,933 m² land size
266,Colliers International - Sydney,"180 Armidale Road, Grafton",Contact Agent,Horticulture,0,0,0,"1,827 ha land size"
267,Ray White  - Castle Hill ,"3 Gary Street, Castle Hill",Location and Potential - MUST BE SOLD,House,3 bedrooms,1 bathroom,1 parking space,695 m² land size
268,Ray White  - Castle Hill ,"6 Drayton Avenue, Castle Hill",Renovate or detonate!! WILL BE SOLD,House,3 bedrooms,1 bathroom,1 parking space,682 m² land size
269,Harcourts BMG - COOLANGATTA,"12 The Anchorage, Tweed Heads","$1,230,250",House,4 bedrooms,2 bathrooms,3 parking spaces,N/A
270,Elders Real Estate - Port Macquarie,"1/129 Pacific Drive, Port Macquarie","$569,000",Townhouse,3 bedrooms,2 bathrooms,2 parking spaces,N/A
271,Cooper Coastal Properties - MILTON,"39 Oxley Crescent, Mollymook","695,000 - 725,000",House,3 bedrooms,2 bathrooms,4 parking spaces,702 m² land size
272,Fletcher Property Group - Sefton,"8 White Way, Casula",Silent Auction,House,4 bedrooms,2 bathrooms,2 parking spaces,"1,091 m² land size"
273,ONE AGENCY PORT MACQUARIE - WAUCHOPE,"37 Riverbreeze Drive, Wauchope","$485,000",House,3 bedrooms,2 bathrooms,0,829 m² land size
274,Real Equity Estate Agents - CHIPPING NORTON,"13 Wolverton Avenue, Chipping Norton",By Negotiation,House,4 bedrooms,2 bathrooms,6 parking spaces,732 m² land size
275,Jim Aitken & Partners - Penrith,"34 Talara Avenue, Glenmore Park","$750,000",House,4 bedrooms,2 bathrooms,2 parking spaces,605 m² land size
276,Raine & Horne - Terrigal-Avoca Beach,"20 Endeavour Drive, Avoca Beach",Contact Agent,House,5 bedrooms,3 bathrooms,2 parking spaces,N/A
277,PRDnationwide Bexley North | Kingsgrove | Beverly Hills | Ramsgate Beach - BEXLEY NORTH,"325 Forest Road, Bexley","For Sale $1,500,000 - $1,600,000",House,10 bedrooms,10 bathrooms,4 parking spaces,N/A
278,Florent & Mundey Real Estate - Coffs Harbour,"6 Amadeus Pl, Coffs Harbour","$699,000",House,3 bedrooms,2 bathrooms,2 parking spaces,741 m² land size
279,Starr Partners - Windsor,"12 Catherine Street, Windsor","$1,025,000",House,5 bedrooms,2 bathrooms,3 parking spaces,"1,163 m² land size"
280,Bangalow Real Estate - Bangalow,"94-96 Warwick Park Rd, Wooyung",Expressions of Interest,House,5 bedrooms,2 bathrooms,2 parking spaces,3.94 ha land size
281,Schmith Realty  - Coolangatta ,"1133/14-22 Stuart Street 'Ultima Apartments', Tweed Heads","$550,000 - $600,000",Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
282,Belle Property - Illawarra,"12 Stanley Avenue, Farmborough Heights",Auction,House,3 bedrooms,1 bathroom,1 parking space,556 m² land size
283,Ray White - Echuca,"12 Pollard Place, Moama","$335,000",House,3 bedrooms,1 bathroom,2 parking spaces,675.2 m² land size
284,Ray White - Ermington,"13/95 Kissing Point Road, Dundas","$699,950",Townhouse,2 bedrooms,2 bathrooms,1 parking space,N/A
285,Singer Residential - COMO,"90 Matson Crescent, Miranda",AUCTION (unless sold prior),House,4 bedrooms,3 bathrooms,3 parking spaces,704 m² land size
286,JKL Real Estate - Forster,"13 Stephen Street, Forster","$1,295,000",House,5 bedrooms,3 bathrooms,3 parking spaces,543 m² land size
287,Walkom Real Estate - Newcastle,"23 Percy Street, North Lambton","$739,900",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
288,Ray White - Cabramatta,"Address available on request, Fairfield",UNDER CONTRACT,House,4 bedrooms,1 bathroom,1 parking space,580 m² land size
289,Byron Bay McGrath - Byron Bay,"'Clover Hill' Ballina Road, Bangalow","$460,000 - $480,000",Residential Land,0,0,0,N/A
290,Standen Estate Agents   - Longueville ,"8.7/87 Bay Street, Glebe","FOR SALE $1,150,000",Unit,2 bedrooms,2 bathrooms,1 parking space,N/A
291,Jackson & Rowe - Ryde,"39 Ronald Avenue, Ryde","Price Range $1,200,000 - $1,300,000",House,3 bedrooms,1 bathroom,1 parking space,N/A
292,33Degrees Real Estate - Pitt Town,"Lot 632, Yeomans Rd, North Richmond","$530,000-$545000",Residential Land,0,0,0,652 m² land size
293,Ray White - Ingleburn,"6 Rebellion Place, Macquarie Links","$759,000",Residential Land,0,0,0,759.6 m² land size
294,"United Realty - Acreage, Residential, Prestige ","519 Calf Farm Road, Mount Hunter","$1,450,000",House,4 bedrooms,2 bathrooms,4 parking spaces,8.09 ha land size
295,Harcourts Paramount - Camden,"9 Brotheridge Avenue, Calderwood","$299,000",Residential Land,0,0,0,330 m² land size
296,McKillop Property Pty Ltd - Mittagong,"74 Cowper Street, Goulburn","$445,000 - $465,000",Unit,3 bedrooms,2 bathrooms,1 parking space,N/A
297,McKillop Property Pty Ltd - Mittagong,"23/9 Kangaloon Road, Bowral","Price Guide $1,050,000 - $1,150,000",Unit,3 bedrooms,2 bathrooms,2 parking spaces,N/A
298,McKillop Property Pty Ltd - Mittagong,"6 Mimosa Place, Mittagong","Price Guide $795,000",House,4 bedrooms,2 bathrooms,2 parking spaces,478 m² land size
299,McKillop Property Pty Ltd - Mittagong,"6/33 Ascot Road, Bowral","$585,000",Townhouse,2 bedrooms,1 bathroom,2 parking spaces,N/A
300,First National Coast & Country -   ,"16 Sharpe Place, Gerringong","$895,000 // Julie Vaux",House,5 bedrooms,2 bathrooms,2 parking spaces,765 m² land size
301,Century 21 Combined - Liverpool,"23 Glenelg Court, Wattle Grove",AUCTION AUCTION,House,4 bedrooms,2 bathrooms,2 parking spaces,776 m² land size
302,Coastal Properties Australia - Tea Gardens,"2/67  Marine Drive, Tea Gardens","$829,000",Villa,3 bedrooms,2 bathrooms,2 parking spaces,N/A
303,McKillop Property Pty Ltd - Mittagong,"7 Langley Avenue, Renwick","$1,250,000",Duplex/Semi-detached,5 bedrooms,4 bathrooms,2 parking spaces,555 m² land size
304,McKillop Property Pty Ltd - Mittagong,"1/454-458 Moss Vale Road, Bowral","$850,000 - $875,000",Villa,3 bedrooms,2 bathrooms,2 parking spaces,N/A
305,McKillop Property Pty Ltd - Mittagong,"21 Balaclava Street, Mittagong","$530,000",House,3 bedrooms,1 bathroom,0,929 m² land size
306,Ray White - South Penrith ,"4/151 Stafford Street, Penrith","$465,000 - $495,000",Villa,3 bedrooms,1 bathroom,1 parking space,N/A
307,Elders Real Estate - Port Macquarie,"40 Parklands Close, Port Macquarie","Auction 17th February, Rydges Hotel at 11am",House,5 bedrooms,3 bathrooms,2 parking spaces,847.3 m² land size
308,Elders Real Estate - Lennox Head,"22 Beryl Place, Lennox Head","$990,000",House,3 bedrooms,2 bathrooms,2 parking spaces,742 m² land size
309,Harcourts Northern Rivers,"1/8 Marge Porter Place, West Ballina","$320,000",Unit,2 bedrooms,1 bathroom,1 parking space,N/A
310,First National Coast and Country,"5/133 Terralong Street, Kiama",New to Market  //  Andy Wharton,Apartment,2 bedrooms,2 bathrooms,1 parking space,92 m² building size
